driverStandingsId,raceId,driverId,points,position,positionText,wins,constructorId,points_[0],lap,duration,milliseconds,name
68160,969,830,10,5,5,0,210,0,25,22.208,22208,"Haas F1 Team"
68160,969,830,10,5,5,0,1,0,25,22.208,22208,McLaren
68160,969,830,10,5,5,0,15,0,25,22.208,22208,Sauber
68160,969,830,10,5,5,0,4,0,25,22.208,22208,Renault
68160,969,830,10,5,5,0,5,6,25,22.208,22208,"Toro Rosso"
68160,969,830,10,5,5,0,10,7,25,22.208,22208,"Force India"
68160,969,830,10,5,5,0,3,8,25,22.208,22208,Williams
68160,969,830,10,5,5,0,9,10,25,22.208,22208,"Red Bull"
68160,969,830,10,5,5,0,131,33,25,22.208,22208,Mercedes
68160,969,830,10,5,5,0,6,37,25,22.208,22208,Ferrari
68159,969,8,12,4,4,0,210,0,26,22.033,22033,"Haas F1 Team"
68159,969,8,12,4,4,0,1,0,26,22.033,22033,McLaren
68159,969,8,12,4,4,0,15,0,26,22.033,22033,Sauber
68159,969,8,12,4,4,0,4,0,26,22.033,22033,Renault
68159,969,8,12,4,4,0,5,6,26,22.033,22033,"Toro Rosso"
68159,969,8,12,4,4,0,10,7,26,22.033,22033,"Force India"
68159,969,8,12,4,4,0,3,8,26,22.033,22033,Williams
68159,969,8,12,4,4,0,9,10,26,22.033,22033,"Red Bull"
68159,969,8,12,4,4,0,131,33,26,22.033,22033,Mercedes
68159,969,8,12,4,4,0,6,37,26,22.033,22033,Ferrari
68158,969,822,15,3,3,0,210,0,25,21.44,21440,"Haas F1 Team"
68158,969,822,15,3,3,0,1,0,25,21.44,21440,McLaren
68158,969,822,15,3,3,0,15,0,25,21.44,21440,Sauber
68158,969,822,15,3,3,0,4,0,25,21.44,21440,Renault
68158,969,822,15,3,3,0,5,6,25,21.44,21440,"Toro Rosso"
68158,969,822,15,3,3,0,10,7,25,21.44,21440,"Force India"
68158,969,822,15,3,3,0,3,8,25,21.44,21440,Williams
68158,969,822,15,3,3,0,9,10,25,21.44,21440,"Red Bull"
68158,969,822,15,3,3,0,131,33,25,21.44,21440,Mercedes
68158,969,822,15,3,3,0,6,37,25,21.44,21440,Ferrari
68157,969,1,18,2,2,0,210,0,17,21.709,21709,"Haas F1 Team"
68157,969,1,18,2,2,0,1,0,17,21.709,21709,McLaren
68157,969,1,18,2,2,0,15,0,17,21.709,21709,Sauber
68157,969,1,18,2,2,0,4,0,17,21.709,21709,Renault
68157,969,1,18,2,2,0,5,6,17,21.709,21709,"Toro Rosso"
68157,969,1,18,2,2,0,10,7,17,21.709,21709,"Force India"
68157,969,1,18,2,2,0,3,8,17,21.709,21709,Williams
68157,969,1,18,2,2,0,9,10,17,21.709,21709,"Red Bull"
68157,969,1,18,2,2,0,131,33,17,21.709,21709,Mercedes
68157,969,1,18,2,2,0,6,37,17,21.709,21709,Ferrari
68156,969,20,25,1,1,1,210,0,23,21.988,21988,"Haas F1 Team"
68156,969,20,25,1,1,1,1,0,23,21.988,21988,McLaren
68156,969,20,25,1,1,1,15,0,23,21.988,21988,Sauber
68156,969,20,25,1,1,1,4,0,23,21.988,21988,Renault
68156,969,20,25,1,1,1,5,6,23,21.988,21988,"Toro Rosso"
68156,969,20,25,1,1,1,10,7,23,21.988,21988,"Force India"
68156,969,20,25,1,1,1,3,8,23,21.988,21988,Williams
68156,969,20,25,1,1,1,9,10,23,21.988,21988,"Red Bull"
68156,969,20,25,1,1,1,131,33,23,21.988,21988,Mercedes
68156,969,20,25,1,1,1,6,37,23,21.988,21988,Ferrari
64387,842,4,20,5,5,0,3,0,46,27.182,27182,Williams
64387,842,4,20,5,5,0,3,0,41,23.812,23812,Williams
64387,842,4,20,5,5,0,3,0,26,23.894,23894,Williams
64387,842,4,20,5,5,0,3,0,14,23.152,23152,Williams
64387,842,4,20,5,5,0,164,0,46,27.182,27182,HRT
64387,842,4,20,5,5,0,164,0,41,23.812,23812,HRT
64387,842,4,20,5,5,0,164,0,26,23.894,23894,HRT
64387,842,4,20,5,5,0,164,0,14,23.152,23152,HRT
64387,842,4,20,5,5,0,166,0,46,27.182,27182,Virgin
64387,842,4,20,5,5,0,166,0,41,23.812,23812,Virgin
64387,842,4,20,5,5,0,166,0,26,23.894,23894,Virgin
64387,842,4,20,5,5,0,166,0,14,23.152,23152,Virgin
64387,842,4,20,5,5,0,205,0,46,27.182,27182,Lotus
64387,842,4,20,5,5,0,205,0,41,23.812,23812,Lotus
64387,842,4,20,5,5,0,205,0,26,23.894,23894,Lotus
64387,842,4,20,5,5,0,205,0,14,23.152,23152,Lotus
64387,842,4,20,5,5,0,5,0,46,27.182,27182,"Toro Rosso"
64387,842,4,20,5,5,0,5,0,41,23.812,23812,"Toro Rosso"
64387,842,4,20,5,5,0,5,0,26,23.894,23894,"Toro Rosso"
64387,842,4,20,5,5,0,5,0,14,23.152,23152,"Toro Rosso"
64387,842,4,20,5,5,0,10,1,46,27.182,27182,"Force India"
64387,842,4,20,5,5,0,10,1,41,23.812,23812,"Force India"
64387,842,4,20,5,5,0,10,1,26,23.894,23894,"Force India"
64387,842,4,20,5,5,0,10,1,14,23.152,23152,"Force India"
64387,842,4,20,5,5,0,131,2,46,27.182,27182,Mercedes
64387,842,4,20,5,5,0,131,2,41,23.812,23812,Mercedes
64387,842,4,20,5,5,0,131,2,26,23.894,23894,Mercedes
64387,842,4,20,5,5,0,131,2,14,23.152,23152,Mercedes
64387,842,4,20,5,5,0,15,6,46,27.182,27182,Sauber
64387,842,4,20,5,5,0,15,6,41,23.812,23812,Sauber
64387,842,4,20,5,5,0,15,6,26,23.894,23894,Sauber
64387,842,4,20,5,5,0,15,6,14,23.152,23152,Sauber
64387,842,4,20,5,5,0,6,18,46,27.182,27182,Ferrari
64387,842,4,20,5,5,0,6,18,41,23.812,23812,Ferrari
64387,842,4,20,5,5,0,6,18,26,23.894,23894,Ferrari
64387,842,4,20,5,5,0,6,18,14,23.152,23152,Ferrari
64387,842,4,20,5,5,0,4,15,46,27.182,27182,Renault
64387,842,4,20,5,5,0,4,15,41,23.812,23812,Renault
64387,842,4,20,5,5,0,4,15,26,23.894,23894,Renault
64387,842,4,20,5,5,0,4,15,14,23.152,23152,Renault
64387,842,4,20,5,5,0,1,22,46,27.182,27182,McLaren
64387,842,4,20,5,5,0,1,22,41,23.812,23812,McLaren
64387,842,4,20,5,5,0,1,22,26,23.894,23894,McLaren
64387,842,4,20,5,5,0,1,22,14,23.152,23152,McLaren
64387,842,4,20,5,5,0,9,37,46,27.182,27182,"Red Bull"
64387,842,4,20,5,5,0,9,37,41,23.812,23812,"Red Bull"
64387,842,4,20,5,5,0,9,37,26,23.894,23894,"Red Bull"
64387,842,4,20,5,5,0,9,37,14,23.152,23152,"Red Bull"
64386,842,808,15,8,8,0,3,0,44,28.694,28694,Williams
64386,842,808,15,8,8,0,3,0,27,22.68,22680,Williams
64386,842,808,15,8,8,0,3,0,15,23.182,23182,Williams
64386,842,808,15,8,8,0,164,0,44,28.694,28694,HRT
64386,842,808,15,8,8,0,164,0,27,22.68,22680,HRT
64386,842,808,15,8,8,0,164,0,15,23.182,23182,HRT
64386,842,808,15,8,8,0,166,0,44,28.694,28694,Virgin
64386,842,808,15,8,8,0,166,0,27,22.68,22680,Virgin
64386,842,808,15,8,8,0,166,0,15,23.182,23182,Virgin
64386,842,808,15,8,8,0,205,0,44,28.694,28694,Lotus
64386,842,808,15,8,8,0,205,0,27,22.68,22680,Lotus
64386,842,808,15,8,8,0,205,0,15,23.182,23182,Lotus
64386,842,808,15,8,8,0,5,0,44,28.694,28694,"Toro Rosso"
64386,842,808,15,8,8,0,5,0,27,22.68,22680,"Toro Rosso"
